amazon_ed_playlist_count,amazon_playlist_count,anghami_followers,anghami_plays,band,boomplay_comments,boomplay_favorites,boomplay_plays,boomplay_ranking_current,boomplay_shares,bs_followers,career_status,cm_artist,cm_artist_rank,cm_tag,code2,current_city,de_editorial_playlist_total_reach,de_playlist_total_reach,deezer_ed_playlist_count,deezer_ed_playlist_total_reach,deezer_fans,deezer_playlist_count,deezer_playlist_total_reach,facebook_followers,facebook_likes,facebook_talks,fs_likes,fs_talks,genius_pageviews,genre_smart_ordered,genres,hometown_city,image_url,ins_engagement_rate,ins_followers,itunes_ed_playlist_count,itunes_playlist_count,line_music_artist_likes,line_music_likes,line_music_mv_plays,line_music_plays,melon_artist_fans,melon_likes,melon_video_likes,melon_video_views,name,num_am_editorial_playlists,num_am_playlists,num_az_editorial_playlists,num_az_playlists,num_de_editorial_playlists,num_de_playlists,num_sp_editorial_playlists,num_sp_playlists,num_yt_editorial_playlists,num_yt_playlists,pandora_lifetime_stations_added,pandora_lifetime_streams,pandora_listeners_28_day,pronoun,rank_eg,rank_fb,shazam_count,snap_subscribers,songkick_fans,soundcloud_followers,soundcloud_plays,sp_editorial_playlist_total_reach,sp_followers,sp_followers_to_listeners_ratio,sp_listeners_to_followers_ratio,sp_monthly_listeners,sp_playlist_total_reach,sp_popularity,spotify_ed_playlist_count,spotify_ed_playlist_total_reach,spotify_playlist_count,spotify_playlist_total_reach,tiktok_followers,tiktok_likes,tiktok_top_video_views,tiktok_track_posts,ts_followers,ts_likes,ts_tweet_count,twitch_followers,twitch_monthly_viewer_hours,twitch_views,twitch_weekly_viewer_hours,ws_views,ycs_subscribers,ycs_views,youtube_daily_video_views,youtube_ed_playlist_count,youtube_ed_playlist_total_reach,youtube_monthly_video_views,youtube_playlist_count,youtube_playlist_total_reach,yt_editorial_playlist_total_reach,yt_playlist_total_reach
850,929,4069457,307365096,False,,,,,,,"{""stage"": ""superstar"", ""stage_score"": 54, ""trend"": ""decline"", ""trend_score"": 100}",5596,15,"[501160, 501120, 501132, 507611, 507691, 507574, 507814, 507549, 501175, 501285, 501872, 503523, 503537, 503515, 503535, 503511, 503513]",US,Los Angeles,18704673,37593723,315,18704673,9156791,978,37593723,30757988,30757988,15557,30757988,15557,84822183,"[{""1"": 501160}, {""2"": 501120}, {""3"": 501132}, {""4"": 507611}, {""5"": 507691}, {""6"": 507574}, {""7"": 507814}, {""8"": 507549}, {""9"": 501175}, {""10"": 501285}, {""11"": 501872}, {""12"": 503523}, {""13"": 503537}, {""14"": 503515}, {""15"": 503535}, {""16"": 503511}, {""17"": 503513}]","indie pop, pop, alternative, dark pop, industrial pop, bedroom pop, soft pop, acoustic, house, art pop, electropop, us alternative, us dance, us electronic, us industrial, us pop, us rock",Los Angeles,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,3.018,124909920,864,2245,129949,561268,68107,64663329,112433,1278350,12827,1216496,Billie Eilish,864,2245,850,929,315,978,1056,2176336,81,672,7889159,2935044247,2636383,she/her,18,8,168235651,949425,4392696,3769545,847334782,219641377,127587776,1.55753,0.642042,81916732,746209486,89,1056,219641377,2176336,746209486,75249391,555200000,127358944543,59647068,9021376,6272,1303,,,,,7541,58300000,22679685594,8919336,81,328717676,260815703,672,9240844250,328717676,9240844250
197,213,1821002,214850708,False,540,8044,55700000,544,670,,"{""stage"": ""superstar"", ""stage_score"": 20, ""trend"": ""steady"", ""trend_score"": 64}",5451,106,"[501146, 501120, 501124, 501872, 507626]",NO,Bergen,1904690,4723878,55,1904690,4037771,444,4723878,8344333,8344333,173155,8344333,173155,7504685,"[{""1"": 501146}, {""2"": 501120}, {""3"": 501124}, {""4"": 501872}, {""5"": 507626}]","dance, pop, electronic, electropop, electro house",Bergen,https://i.scdn.co/image/ab6761610000e5eb572a8eae56feae217f618078,0.9693999999999999,10429047,175,909,150007,388468,61984,52884783,58917,993646,8268,1116990,Alan Walker,175,909,197,213,55,444,511,956235,42,494,1480305,1158138002,449094,he/him,134,87,121946291,383996,1047150,895750,88853078,49346693,42098285,1.448266,0.690481,29068068,279335068,79,511,49346693,956235,279335068,15558877,189700000,49577859351,60298690,837885,8519,3013,6976,,,,1031,47600000,17006535596,6686441,42,1048862822,189455466,494,3789999324,1048862822,3789999324
859,907,1167666,157222674,False,74,1877,13200000,2191,37,,"{""stage"": ""superstar"", ""stage_score"": 22, ""trend"": ""gradual decline"", ""trend_score"": 53}",3907,107,"[501120, 501124, 501872, 507626, 507555, 501178, 507549, 501132, 503523, 503515, 503511, 503516, 503513, 9127, 9895]",US,,9001357,15863188,97,9001357,3091534,1113,15863188,17128315,17128315,1111,17128315,1111,18750099,"[{""1"": 501120}, {""2"": 501124}, {""3"": 501872}, {""4"": 507626}, {""5"": 507555}, {""6"": 501178}, {""7"": 507549}, {""8"": 501132}, {""9"": 503523}, {""10"": 503515}, {""11"": 503511}, {""12"": 503516}, {""13"": 503513}, {""14"": 9127}, {""15"": 9895}]","pop, electronic, electropop, electro house, alternative r&b, dubstep, acoustic, alternative, us alternative, us electronic, us pop, us r&b/soul, us rock",Philadelphia,https://i.scdn.co/image/ab6761610000e5ebfa62d7b4d09a4ea9b4c5f05d,0.3915,28184592,632,1915,40206,122824,7644,14845177,21879,463549,2228,306751,Marshmello,632,1915,859,907,97,1113,806,1764577,98,501,4031459,2570871011,836771,he/him,223,46,104234228,507726,2159860,1461004,670401348,133679307,35033194,0.665662,1.502264,52629095,541176326,80,806,133679307,1764577,541176326,25585683,261800000,26685391725,26562442,2273394,230496,10270,45205,,,,783,58500000,17902130684,3760625,98,22514046,97541925,501,3405055116,22514046,3405055116
362,371,4019,1297839,False,,,,,,,"{""stage"": ""superstar"", ""stage_score"": 28, ""trend"": ""growth"", ""trend_score"": 50}",4251908,63,"[501398, 501434, 501271, 507725, 501123, 501635, 503934, 503948, 503926, 503932, 503923, 503925, 503939, 11100, 506130]",MX,,19221870,24310927,46,19221870,491602,179,24310927,1613506,1613506,8987,1613506,8987,3061988,"[{""1"": 501398}, {""2"": 501434}, {""3"": 501271}, {""4"": 507725}, {""5"": 501123}, {""6"": 501635}, {""7"": 503934}, {""8"": 503948}, {""9"": 503926}, {""10"": 503932}, {""11"": 503923}, {""12"": 503925}, {""13"": 503939}, {""14"": 11100}, {""15"": 506130}]","corridos, perreo, alternative hip-hop, melodic house, metal, mexican, mexican alternative, mexican dance, mexican electronic, mexican folk, mexican hip-hop/rap, mexican metal, mexican vocal",Zapopan,https://i.scdn.co/image/ab6761610000e5ebe5283f5b671cf618b82a2696,4.8264,16088134,205,408,29,86,,31630,33,843,,,Peso Pluma,205,408,362,371,46,179,291,586676,48,245,2495696,777528904,836158,he/him,43,227,51083884,,484282,381528,146133345,111244113,28400351,0.607017,1.647401,46786754,267462149,90,291,111244113,586676,267462149,9382564,63100000,91359356077,57434261,314376,298,199,,,,,1752,9270000,12241072932,17065780,48,1374514927,467424198,245,4395391358,1374514927,4395391358
1130,1189,3642738,334401728,False,,,,,,4884193,"{""stage"": ""superstar"", ""stage_score"": 46, ""trend"": ""steady"", ""trend_score"": 41}",1006,19,"[501146, 501124, 507626, 501175, 501120, 501872, 507816, 501871, 507575, 503667, 503645, 503641, 503646, 9103, 419367]",FR,Paris,37282470,58189180,304,37282470,19986486,1788,58189180,47258620,47258620,74083,47258620,74083,10287222,"[{""1"": 501146}, {""2"": 501124}, {""3"": 507626}, {""4"": 501175}, {""5"": 501120}, {""6"": 501872}, {""7"": 507816}, {""8"": 501871}, {""9"": 507575}, {""10"": 503667}, {""11"": 503645}, {""12"": 503641}, {""13"": 503646}, {""14"": 9103}, {""15"": 419367}]","dance, electronic, electro house, house, pop, electropop, soulful house, dance pop, big room house, french dance, french electronic, french pop, french r&b/soul",Paris,https://i.scdn.co/image/ab6761610000e5ebf150017ca69c8793503c2d4f,0.5583,12092810,956,3134,71096,322389,5954,50249626,25792,422126,3640,389394,David Guetta,956,3134,1130,1189,304,1788,1790,2541150,148,944,9626821,4765788615,1185072,he/him,19,21,393151600,1008586,4791017,2593231,421793759,263415978,28077784,0.314846,3.176157,89179437,955511175,88,1790,263415978,2541150,955511175,6703012,64600000,49516777960,26590648,15414297,5678,7085,17188,,,,1981,27800000,23288497331,7193882,148,9680194,192592978,944,7248574795,9680194,7248574795
891,923,1094771,168373248,False,0,2,,99000,0,,"{""stage"": ""superstar"", ""stage_score"": 39, ""trend"": ""growth"", ""trend_score"": 21}",3870,28,"[501121, 503269, 504406, 501164, 501271, 501163, 501512, 501892, 507852, 507733, 503523, 503525, 503537, 503533, 503515, 503512, 419536, 10227, 11394]",US,Atlanta,5947375,9638416,115,5947375,3957346,828,9638416,10000864,10000864,3604,10000864,3604,126882757,"[{""1"": 501121}, {""2"": 503269}, {""3"": 504406}, {""4"": 501164}, {""5"": 501271}, {""6"": 501163}, {""7"": 501512}, {""8"": 501892}, {""9"": 507852}, {""10"": 507733}, {""11"": 503523}, {""12"": 503525}, {""13"": 503537}, {""14"": 503533}, {""15"": 503515}, {""16"": 503512}, {""17"": 419536}, {""18"": 10227}, {""19"": 11394}]","hip-hop/rap, latin alternative, southern hip-hop, trap, alternative hip-hop, dirty south, hardstyle, mumble rap, tropical house, minimal techno, us alternative, us ambient, us dance, us easy listening, us electronic, us hip-hop/rap",Atlanta,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb,3.3563,25427720,1223,3394,4878,28206,470,4643007,8876,42467,45,6332,Future,1223,3394,891,923,115,828,1268,2549387,78,737,31083690,12568207034,3612316,he/him,34,29,260550256,3010933,3341119,10677154,2641925758,128269510,24506932,0.414371,2.413298,59142537,682956204,89,1268,128269510,2549387,682956204,956600,5000000,88224563881,89876650,7955108,359,14569,8282,,,,2765,14900000,14618286493,5871719,78,3578820,152258340,737,1999096138,3578820,1999096138
115,119,40514,2849744,False,,,,,,,"{""stage"": ""superstar"", ""stage_score"": 9, ""trend"": ""steady"", ""trend_score"": 4}",207531,362,"[501204, 504342, 501293, 504400, 504328, 501267, 501476, 507712, 503731, 503746, 503724, 503730, 501331, 483553, 424650]",BR,,13018943,22907849,66,13018943,9056686,480,22907849,20176553,20176553,99402,20176553,99402,39926,"[{""1"": 501204}, {""2"": 504342}, {""3"": 501293}, {""4"": 504400}, {""5"": 504328}, {""6"": 501267}, {""7"": 501476}, {""8"": 507712}, {""9"": 503731}, {""10"": 503746}, {""11"": 503724}, {""12"": 503730}, {""13"": 501331}, {""14"": 483553}, {""15"": 424650}]","sertanejo, arrocha, bachata, regional mexican, seresta, afro house, finnish pop, latin house, brazilian country, brazilian dance, brazilian electronic, brazilian folk, brazilian pop",Goiania,https://i.scdn.co/image/ab6761610000e5eb08cacf062848b7318679b1b4,0.3189,44969175,106,254,146,1961,,170410,,535,,,Gusttavo Lima,106,254,115,119,66,480,145,235492,7,771,105021,57281230,7591,he/him,693,151,16078375,,165665,16369,248257,31841105,24205189,1.651856,0.60538,14653332,160228394,78,145,31841105,235492,160228394,7162129,46100000,11634030048,9190685,12535275,3195,21659,,,,,391,21800000,18853945623,5985411,7,0,136364731,771,2239475126,0,2239475126
308,326,1400094,94809119,False,,,,,,3325515,"{""stage"": ""superstar"", ""stage_score"": 17, ""trend"": ""steady"", ""trend_score"": 6}",3401,156,"[501146, 507626, 501872, 501175, 507852, 501871, 501456, 501800, 419367]",SE,Stockholm,3910315,6415473,86,3910315,8332224,805,6415473,17892006,17892006,1106,17892006,1106,6391782,"[{""1"": 501146}, {""2"": 507626}, {""3"": 501872}, {""4"": 501175}, {""5"": 507852}, {""6"": 501871}, {""7"": 501456}, {""8"": 501800}, {""9"": 419367}]","dance, electro house, electropop, house, tropical house, dance pop, edm, state trance",,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113,1.619,7056431,519,1428,391766,1011180,49539,152815907,33577,329566,1008,115462,Avicii,519,1428,308,326,86,805,1133,1393363,52,301,6765368,1937853628,736591,he/him,265,88,166059389,272977,,2000175,104213492,72483044,23833205,0.593006,1.686323,40190485,338103500,80,1133,72483044,1393363,338103500,1600000,20600000,13052277353,10151982,1589477,132,3051,,,,,6163,21500000,12533677801,2679584,52,12405128,69330818,301,1040582155,12405128,1040582155
933,1000,2091117,184004645,False,,,,,,,"{""stage"": ""superstar"", ""stage_score"": 36, ""trend"": ""steady"", ""trend_score"": 67}",2134,39,"[501146, 501124, 507626, 501872, 501175, 501120, 507816, 507852, 507864, 501815, 503431, 504344, 504339, 501871, 503590, 503568, 503565, 503564, 503569]",GB,Uk,10736896,17619203,259,10736896,12275971,1859,17619203,14125060,14125060,926,14125060,926,14863293,"[{""1"": 501146}, {""2"": 501124}, {""3"": 507626}, {""4"": 501872}, {""5"": 501175}, {""6"": 501120}, {""7"": 507816}, {""8"": 507852}, {""9"": 507864}, {""10"": 501815}, {""11"": 503431}, {""12"": 504344}, {""13"": 504339}, {""14"": 501871}, {""15"": 503590}, {""16"": 503568}, {""17"": 503565}, {""18"": 503564}, {""19"": 503569}]","dance, electronic, electro house, electropop, house, pop, soulful house, tropical house, vocal house, tech house, caribbean hip-hop/rap, chinese hip-hop, chinese r&b, dance pop, uk dance, uk electronic, uk hip-hop/rap, uk pop, uk r&b/soul",Dumfries,https://i.scdn.co/image/ab6761610000e5eb8ebba5e60113b48de8c11f6b,0.483,11426575,1212,3574,42736,174246,3641,30045789,27372,492442,1893,496728,Calvin Harris,1212,3574,933,1000,259,1859,2024,2270177,112,655,8191385,4353567107,970642,he/him,70,22,297330917,3085515,5130670,7548188,305698236,209000169,23638708,0.29403,3.401011,80395506,764162102,86,2024,209000169,2270177,764162102,1882121,33000000,36377082587,30035199,10198420,2869,65,,,,,2672,19600000,18942061061,5001363,112,13329178,129842629,655,2240793588,13329178,2240793588
536,567,202085,49759143,False,,,,,,,"{""stage"": ""superstar"", ""stage_score"": 17, ""trend"": ""steady"", ""trend_score"": 32}",731530,167,"[501121, 501164, 501492, 501524, 501271, 501815, 503523, 503537, 503515, 503512, 503511, 419536, 420940]",US,Atlanta,4341290,6028786,92,4341290,1428902,422,6028786,5178189,5178189,15289,5178189,15289,50073268,"[{""1"": 501121}, {""2"": 501164}, {""3"": 501492}, {""4"": 501524}, {""5"": 501271}, {""6"": 501815}, {""7"": 503523}, {""8"": 503537}, {""9"": 503515}, {""10"": 503512}, {""11"": 503511}, {""12"": 419536}, {""13"": 420940}]","hip-hop/rap, trap, german hip-hop, pop rap, alternative hip-hop, tech house, us alternative, us dance, us electronic, us hip-hop/rap, us pop",Atlanta,https://i.scdn.co/image/ab6761610000e5eb514da623c55dc9d2155705dd,0,22783499,635,1637,3475,9091,509,1456640,3352,26395,31,2294,Lil Baby,635,1637,536,567,92,422,497,1661173,52,380,9075444,5680964488,2702344,he/him,235,119,157278220,1459801,1405720,1961087,2432702993,81331710,23309014,0.754208,1.325894,30905279,369168029,85,497,81331710,1661173,369168029,5819384,37300000,43986591260,23809299,7799039,337,1611,28856,,,,1364,10400000,11514516538,4466161,52,1046137062,118517299,380,2715898677,1046137062,2715898677
