name,cm_artist_id,genre_primary,genre_secondary,genre_sub
Len Faki,240495,"{'id': 501261, 'name': 'acidcore', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501146, 'name': 'dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501124, 'name': 'electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507545, 'name': 'acid', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501609, 'name': 'lofi', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501446, 'name': 'dub techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501512, 'name': 'hardstyle', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507733, 'name': 'minimal techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503318, 'name': 'european ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501236, 'name': 'european dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503326, 'name': 'european easy listening', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503309, 'name': 'european electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501234, 'name': 'european hip-hop/rap', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503319, 'name': 'european psychedelic', 'type': 'genre_v2', 'source': 'cm'}]","[{'id': 16873, 'name': 'acid techno', 'type': 'genre', 'source': 'spotify'}]"
Colin Benders,482964,"{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501146, 'name': 'dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501124, 'name': 'electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501261, 'name': 'acidcore', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501140, 'name': 'instrumental', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501511, 'name': 'hardgroove', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501134, 'name': 'ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501675, 'name': 'organic house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503318, 'name': 'european ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501236, 'name': 'european dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503309, 'name': 'european electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503324, 'name': 'european instrumental', 'type': 'genre_v2', 'source': 'cm'}]","[{'id': 11074, 'name': 'compositional ambient', 'type': 'genre', 'source': 'spotify'}, {'id': 464578, 'name': 'dutch experimental electronic', 'type': 'genre', 'source': 'spotify'}]"
Beste Hira,4099269,"{'id': 501261, 'name': 'acidcore', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501511, 'name': 'hardgroove', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501146, 'name': 'dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501124, 'name': 'electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501177, 'name': 'trance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501446, 'name': 'dub techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501236, 'name': 'european dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503309, 'name': 'european electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503319, 'name': 'european psychedelic', 'type': 'genre_v2', 'source': 'cm'}]",
Dom Dolla,5572,"{'id': 501815, 'name': 'tech house', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507816, 'name': 'soulful house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507626, 'name': 'electro house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507864, 'name': 'vocal house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507730, 'name': 'minimal', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507655, 'name': 'funky house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507712, 'name': 'latin house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501872, 'name': 'electropop', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507640, 'name': 'fidget house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503760, 'name': 'australian ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503772, 'name': 'australian dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503768, 'name': 'australian easy listening', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503751, 'name': 'australian electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503748, 'name': 'australian hip-hop/rap', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503747, 'name': 'australian pop', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503752, 'name': 'australian r&b/soul', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503749, 'name': 'australian rock', 'type': 'genre_v2', 'source': 'cm'}]",
Moodyman,1392496,"{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501815, 'name': 'tech house', 'type': 'genre_v2', 'source': 'cm'}]",
Young Marco,211372,"{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501140, 'name': 'instrumental', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501134, 'name': 'ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501124, 'name': 'electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503578, 'name': 'uk ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503590, 'name': 'uk dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503568, 'name': 'uk electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503584, 'name': 'uk instrumental', 'type': 'genre_v2', 'source': 'cm'}]","[{'id': 464578, 'name': 'dutch experimental electronic', 'type': 'genre', 'source': 'spotify'}, {'id': 21337, 'name': 'float house', 'type': 'genre', 'source': 'spotify'}]"
Job Jobse,14023591,,,
Indira Paganotto,656450,"{'id': 501261, 'name': 'acidcore', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501176, 'name': 'techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507614, 'name': 'deep techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507730, 'name': 'minimal', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507545, 'name': 'acid', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507676, 'name': 'hard trance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507692, 'name': 'industrial techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501509, 'name': 'hard techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503578, 'name': 'uk ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503590, 'name': 'uk dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503586, 'name': 'uk easy listening', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503568, 'name': 'uk electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503565, 'name': 'uk hip-hop/rap', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503588, 'name': 'uk industrial', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503579, 'name': 'uk psychedelic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503566, 'name': 'uk rock', 'type': 'genre_v2', 'source': 'cm'}]","[{'id': 16873, 'name': 'acid techno', 'type': 'genre', 'source': 'spotify'}, {'id': 98797, 'name': 'tekno', 'type': 'genre', 'source': 'spotify'}]"
Loco Dice,212455,"{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 501815, 'name': 'tech house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503309, 'name': 'european electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507733, 'name': 'minimal techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503604, 'name': 'german ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503615, 'name': 'german dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503612, 'name': 'german easy listening', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503594, 'name': 'german electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503591, 'name': 'german hip-hop/rap', 'type': 'genre_v2', 'source': 'cm'}]","[{'id': 10361, 'name': 'german techno', 'type': 'genre', 'source': 'spotify'}]"
Maceo Plex,211347,"{'id': 501175, 'name': 'house', 'type': 'genre_v2', 'source': 'cm'}","[{'id': 507730, 'name': 'minimal', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507614, 'name': 'deep techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507725, 'name': 'melodic house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507781, 'name': 'progressive house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507721, 'name': 'melodic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507733, 'name': 'minimal techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501815, 'name': 'tech house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 507816, 'name': 'soulful house', 'type': 'genre_v2', 'source': 'cm'}, {'id': 501633, 'name': 'melodic techno', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503525, 'name': 'us ambient', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503537, 'name': 'us dance', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503533, 'name': 'us easy listening', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503515, 'name': 'us electronic', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503512, 'name': 'us hip-hop/rap', 'type': 'genre_v2', 'source': 'cm'}, {'id': 503516, 'name': 'us r&b/soul', 'type': 'genre_v2', 'source': 'cm'}]",
