Kind,Event Type,Event status,Event Date,Weekday,Year Doors Open,Month (friendly),Quarter (friendly),Days on sale,Genre,Visitor capacity,Sellable quantity,Total area capacity,Area count,Visitor forecast,Ticket forecast,EST launch - tickets,Event Cost FORECAST,Total Margin FORECAST,Result FORECAST,Total Visitors,ACT - total tickets (incl. door),Predicted Sales,Ticket occupancy_clean,Ticket Sales progression_clean,Time duration_clean,EST launch - ticketing revenue_clean,EST launch - average ticket pricing_clean,EST launch - bar revenue_clean,EST launch - total sales_clean,Event Result FORECAST_clean,ACT - total ticketing revenue_clean,Event Result ACTUALS_clean,Artist Costs_clean,Artist Cost FORECAST_clean,Artist budget_clean,genre_clean,cost_per_capacity,is_weekend,is_saturday,quarter,is_summer,profit,revenue,visitors
intern,Regulier,Confirmed,3/1/2024 12:00am,Friday,2024,March,Q1,914,,1300.0,,0,1,1040,0,1015,17701,€5.330,10,992,981,,0.8,0.65,7.0,24867.0,24.5,18270.0,45249.0,10010.0,18722.0,8734.0,14972.5,15000.0,,unknown,9.981666666666667,1,0,1,0,8734.0,18722.0,992
intern,Regulier,Confirmed,3/23/2024 12:00am,Saturday,2024,March,Q1,892,,1300.0,,0,1,910,0,1160,18484,€11.520,8329,893,930,,0.7,0.61,7.0,28420.0,24.5,20880.0,51713.0,18329.0,17817.0,14551.0,11850.0,12000.0,,unknown,7.9,1,1,1,0,14551.0,17817.0,893
intern,Regulier,Confirmed,3/31/2024 12:00am,Sunday,2024,March,Q1,876,,,,0,4,0,0,1700,21400,€17.400,22136,1990,1891,,,1.11,18.0,41650.0,24.5,30600.0,75786.0,32136.0,63007.0,36853.0,21805.0,18000.0,,unknown,14.536666666666667,1,0,1,0,36853.0,63007.0,1990
intern,Regulier,Confirmed,4/12/2024 12:00am,Friday,2024,April,Q2,872,,1450.0,,0,1,1450,0,1305,19267,€28.710,20647,1563,1530,,1.0,1.02,7.0,31973.0,24.5,23490.0,58177.0,35647.0,31088.0,26206.0,6440.0,,,unknown,4.293333333333333,1,0,2,1,26206.0,31088.0,1563
intern,Regulier,Confirmed,4/13/2024 12:00am,Saturday,2024,April,Q2,871,,1450.0,,0,2,1015,0,1305,19267,€28.710,20647,584,636,,0.7,0.41,9.0,31973.0,24.5,23490.0,58177.0,35647.0,10638.0,1749.0,8590.0,,,unknown,5.726666666666667,1,1,2,1,1749.0,10638.0,584
intern,Regulier,Confirmed,4/27/2024 12:00am,Saturday,2024,April,Q2,857,,2000.0,,0,4,2000,0,1800,21940,€39.600,38804,1974,2084,,1.0,1.04,17.0,44100.0,24.5,32400.0,80244.0,53804.0,49836.0,46750.0,18070.0,,,unknown,12.046666666666667,1,1,2,1,46750.0,49836.0,1974
intern,Regulier,Confirmed,5/10/2024 12:00am,Friday,2024,May,Q2,821,,1700.0,,0,3,1190,0,1360,19564,€29.920,31483,1205,1253,,0.7,0.72,14.0,33320.0,24.5,24480.0,62629.0,39665.0,27236.0,-2489.0,23700.0,,,unknown,15.8,1,0,2,1,-2489.0,27236.0,1205
intern,Regulier,Confirmed,5/12/2024 12:00am,Sunday,2024,May,Q2,842,,1450.0,,0,2,870,0,700,16000,€15.400,5274,766,708,,0.6,0.68,12.0,17150.0,24.5,12600.0,31206.0,13456.0,13646.0,-6975.0,9380.0,,,unknown,6.253333333333333,1,0,2,1,-6975.0,13646.0,766
intern,Regulier,Confirmed,5/25/2024 12:00am,Saturday,2024,May,Q2,829,,2051.0,,0,4,2051,0,2000,23020,€44.000,52958,1986,2027,,1.0,1.01,15.0,49000.0,24.5,36000.0,89160.0,61140.0,51459.0,42365.0,25337.5,,,unknown,16.891666666666666,1,1,2,1,42365.0,51459.0,1986
intern,Regulier,Confirmed,5/26/2024 12:00am,Sunday,2024,May,Q2,828,,1450.0,,0,2,725,0,870,16918,€19.140,11510,417,386,,0.5,0.24,11.0,21315.0,24.5,15660.0,38785.0,19692.0,7030.0,-5349.0,7100.0,,,unknown,4.733333333333333,1,0,2,1,-5349.0,7030.0,417
intern,Regulier,Confirmed,6/1/2024 12:00am,Saturday,2024,,Q2,822,,1700.0,,0,3,1530,0,0,12220,€0,-12220,652,660,,0.9,0.4,6.0,0.0,,0.0,0.0,-12220.0,11106.0,5191.0,9470.0,,,unknown,6.3133333333333335,1,1,2,1,5191.0,11106.0,652
intern,Regulier,Confirmed,6/23/2024 12:00am,Sunday,2024,,Q2,800,,1450.0,,0,1,1305,0,1305,19267,€28.710,28147,918,954,,0.9,0.65,9.0,31973.0,24.5,23490.0,58177.0,35647.0,20951.0,14469.0,9117.5,,,unknown,6.078333333333333,1,0,2,1,14469.0,20951.0,918
intern,Regulier,Confirmed,7/7/2024 12:00am,Sunday,2024,July,Q3,786,,1450.0,,0,2,725,0,870,16918,€19.140,19692,286,244,,0.5,0.16,11.0,21315.0,24.5,15660.0,38785.0,19692.0,4156.0,-10962.0,7075.0,,,unknown,4.716666666666667,1,0,3,1,-10962.0,4156.0,286
intern,Regulier,Confirmed,7/13/2024 12:00am,Saturday,2024,July,Q3,800,,1700.0,,0,2,1700,0,1530,20482,€33.660,43900,2105,2000,,1.0,1.18,15.0,37485.0,24.5,27540.0,68207.0,43900.0,50072.0,8952.0,9505.0,,,unknown,6.336666666666667,1,1,3,1,8952.0,50072.0,2105
intern,Regulier,Confirmed,7/19/2024 12:00am,Friday,2024,July,Q3,774,,1450.0,,0,2,1160,0,1015,17701,€22.330,25010,754,747,,0.8,0.48,7.0,24867.0,24.5,18270.0,45249.0,25010.0,13936.0,7124.0,11395.0,,,unknown,7.596666666666667,1,0,3,1,7124.0,13936.0,754
intern,Regulier,Confirmed,7/20/2024 12:00am,Saturday,2024,July,Q3,773,,1450.0,,0,1,0,0,1160,18484,€25.520,30329,319,390,,0.0,0.26,8.0,28420.0,24.5,20880.0,51713.0,30329.0,7575.0,-6099.0,11650.0,,,unknown,7.766666666666667,1,1,3,1,-6099.0,7575.0,319
intern,Regulier,Confirmed,7/27/2024 12:00am,Saturday,2024,July,Q3,766,,1450.0,,0,1,1160,0,1360,19564,€29.920,37665,675,653,,0.8,0.38,8.0,33320.0,24.5,24480.0,60629.0,37665.0,13016.0,211.0,10515.0,,,unknown,7.01,1,1,3,1,211.0,13016.0,675
intern,Regulier,Confirmed,8/17/2024 12:00am,Saturday,2024,August,Q3,745,,3000.0,,0,4,2400,0,1800,21940,€39.600,53804,2213,2162,,0.8,1.01,24.0,44100.0,24.5,32400.0,80244.0,53804.0,64218.0,28972.0,1800.0,,,unknown,1.2,1,1,3,1,28972.0,64218.0,2213
intern,Regulier,Confirmed,8/31/2024 12:00am,Saturday,2024,August,Q3,731,,1700.0,,0,3,1530,0,1530,20482,€33.660,43900,1762,1714,,0.9,0.93,15.0,37485.0,24.5,27540.0,68207.0,43900.0,39981.0,13798.0,21350.0,,,unknown,14.233333333333333,1,1,3,1,13798.0,39981.0,1762
intern,Regulier,Confirmed,9/8/2024 12:00am,Sunday,2024,September,Q3,723,,1450.0,,0,2,725,0,1360,19564,€29.920,37665,237,202,,0.5,0.11,-157.0,33320.0,24.5,24480.0,60629.0,37665.0,2781.0,-14142.0,7302.5,,,unknown,4.868333333333333,1,0,3,1,-14142.0,2781.0,237
intern,Regulier,Confirmed,9/14/2024 12:00am,Saturday,2024,September,Q3,717,,1700.0,,0,2,1530,0,870,16918,€19.140,19692,1460,1539,,0.9,1.01,-6181.0,21315.0,24.5,15660.0,38785.0,19692.0,34245.0,17504.0,16250.0,,,unknown,10.833333333333334,1,1,3,1,17504.0,34245.0,1460
intern,Regulier,Confirmed,9/14/2024 12:00am,Saturday,2024,September,Q3,717,,1450.0,,0,1,1450,0,1450,20050,€31.900,40966,1532,1546,,1.0,1.07,9.0,35525.0,24.5,26100.0,64641.0,40966.0,41505.0,27551.0,17500.0,,,unknown,11.666666666666666,1,1,3,1,27551.0,41505.0,1532
intern,Regulier,Confirmed,9/15/2024 12:00am,Sunday,2024,September,Q3,716,,1450.0,,0,2,725,0,290,13786,€6.380,-1583,267,220,,0.5,0.15,11.0,7105.0,24.5,5220.0,12928.0,-1583.0,3114.0,-10514.0,8510.0,,,unknown,5.673333333333333,1,0,3,1,-10514.0,3114.0,267
intern,Regulier,Confirmed,9/20/2024 12:00am,Friday,2024,September,Q3,681,,1700.0,,0,1,1530,0,653,15744,€14.355,11714,692,648,,0.9,0.39,11.0,15986.0,24.5,11745.0,29088.0,11714.0,10744.0,-828.0,7517.5,,,unknown,5.011666666666667,1,0,3,1,-828.0,10744.0,692
intern,Regulier,Confirmed,9/29/2024 12:00am,Sunday,2024,September,Q3,702,,1450.0,,0,2,870,0,850,16810,€18.700,18958,269,245,,0.6,0.14,12.0,20825.0,24.5,15300.0,37893.0,18958.0,4050.0,-11430.0,9152.5,,,unknown,6.101666666666667,1,0,3,1,-11430.0,4050.0,269
intern,Regulier,Confirmed,10/4/2024 12:00am,Friday,2024,October,Q4,697,,1500.0,,0,1,0,0,725,12220,€15.950,5238,643,646,,,0.41,7.0,17763.0,24.5,0.0,19271.0,5238.0,11495.0,3397.0,8065.0,,,unknown,5.376666666666667,1,0,4,0,3397.0,11495.0,643
intern,Regulier,Confirmed,10/17/2024 12:00am,Thursday,2024,October,Q4,684,,1900.0,,0,2,1900,0,1530,20482,€33.660,43900,1492,1405,,1.0,0.82,10.0,37485.0,24.5,27540.0,68207.0,43900.0,40870.0,11347.0,12790.0,,,unknown,8.526666666666667,0,0,4,0,11347.0,40870.0,1492
intern,Regulier,Confirmed,10/18/2024 12:00am,Friday,2024,October,Q4,683,,1900.0,,0,2,1900,0,1530,20482,€33.660,43900,1719,1682,,1.0,0.99,9.0,37485.0,24.5,27540.0,68207.0,43900.0,52433.0,44177.0,17880.0,,,unknown,11.92,1,0,4,0,44177.0,52433.0,1719
intern,Regulier,Confirmed,10/19/2024 12:00am,Saturday,2024,October,Q4,682,,1900.0,,0,2,1900,0,1530,20482,€33.660,43900,1779,1694,,1.0,1.0,8.0,37485.0,24.5,27540.0,68207.0,43900.0,54297.0,32372.0,13117.5,,,unknown,8.745,1,1,4,0,32372.0,54297.0,1779
intern,Regulier,Confirmed,10/19/2024 12:00am,Saturday,2024,October,Q4,682,,1900.0,,0,2,1900,0,1800,21940,€39.600,53804,1714,1652,,1.0,0.83,9.0,44100.0,24.5,32400.0,80244.0,53804.0,49763.0,29370.0,12830.0,,,unknown,8.553333333333333,1,1,4,0,29370.0,49763.0,1714
intern,Regulier,Confirmed,10/20/2024 12:00am,Sunday,2024,October,Q4,681,,1900.0,,0,4,1900,0,1530,20482,€33.660,43900,1877,1773,,1.0,1.03,18.0,37485.0,24.5,27540.0,68207.0,43900.0,60282.0,13611.0,23890.0,,,unknown,15.926666666666666,1,0,4,0,13611.0,60282.0,1877
intern,Regulier,Confirmed,10/26/2024 12:00am,Saturday,2024,October,Q4,675,,1500.0,,0,2,1050,0,725,12220,€15.950,5238,870,834,,0.7,0.54,8.0,17763.0,24.5,0.0,19271.0,5238.0,16411.0,11504.0,3450.0,,,unknown,2.3,1,1,4,0,11504.0,16411.0,870
intern,Regulier,Confirmed,11/1/2024 12:00am,Friday,2024,November,Q4,669,,1500.0,,0,1,1050,0,1015,17701,€22.330,25010,755,740,,0.7,0.47,7.0,24867.0,24.5,18270.0,45249.0,25010.0,13634.0,29.0,14450.0,,,unknown,9.633333333333333,1,0,4,0,29.0,13634.0,755
intern,Regulier,Confirmed,11/9/2024 12:00am,Saturday,2024,November,Q4,661,,1500.0,,0,1,1200,0,1015,17701,€22.330,25010,693,726,,0.8,0.48,7.0,24867.0,24.5,18270.0,45249.0,25010.0,12714.0,4147.0,13212.5,,,unknown,8.808333333333334,1,1,4,0,4147.0,12714.0,693
intern,Regulier,Confirmed,11/10/2024 12:00am,Sunday,2024,November,Q4,660,,500.0,,0,1,350,0,0,12220,€0,-12220,255,228,,0.7,,10.0,0.0,,0.0,0.0,-12220.0,2634.0,-8544.0,4772.5,,,unknown,3.1816666666666666,1,0,4,0,-8544.0,2634.0,255
intern,Regulier,Confirmed,11/16/2024 12:00am,Saturday,2024,November,Q4,654,,1500.0,,0,3,1050,0,870,16918,€19.140,19692,1626,1577,,0.7,1.03,7.0,21315.0,24.5,15660.0,38785.0,19692.0,30040.0,23492.0,15120.0,,,unknown,10.08,1,1,4,0,23492.0,30040.0,1626
intern,Regulier,Confirmed,11/22/2024 12:00am,Friday,2024,November,Q4,648,,1500.0,,0,2,1350,0,1530,20482,€33.660,43900,1119,1142,,0.9,0.64,6.0,37485.0,24.5,27540.0,68207.0,43900.0,21641.0,24630.0,11500.0,,,unknown,7.666666666666667,1,0,4,0,24630.0,21641.0,1119
intern,Regulier,Confirmed,11/23/2024 12:00am,Saturday,2024,November,Q4,647,,1500.0,,0,1,975,0,1015,12220,€22.330,12221,741,747,,0.65,0.48,7.0,24867.0,24.5,0.0,26979.0,12221.0,13238.0,7194.0,17100.0,,,unknown,11.4,1,1,4,0,7194.0,13238.0,741
intern,Regulier,Confirmed,11/24/2024 12:00am,Sunday,2024,November,Q4,646,,1500.0,,0,1,750,0,0,12220,€0,-12220,265,287,,0.5,,10.0,0.0,,0.0,0.0,-12220.0,4938.0,-4232.0,5405.0,,,unknown,3.6033333333333335,1,0,4,0,-4232.0,4938.0,265
intern,Regulier,Confirmed,11/29/2024 12:00am,Friday,2024,November,Q4,641,,1500.0,,0,2,1500,0,1015,17701,€22.330,25010,1758,1701,,1.0,1.17,7.0,24867.0,24.5,18270.0,45249.0,25010.0,39175.0,41526.0,22000.0,,,unknown,14.666666666666666,1,0,4,0,41526.0,39175.0,1758
intern,Regulier,Confirmed,12/7/2024 12:00am,Saturday,2024,December,Q4,633,,1500.0,,0,1,1200,0,1015,17701,€22.330,25010,1470,1517,,0.8,1.02,7.0,24867.0,24.5,18270.0,45249.0,25010.0,32670.0,29759.0,8100.0,,,unknown,5.4,1,1,4,0,29759.0,32670.0,1470
intern,Regulier,Confirmed,12/14/2024 12:00am,Saturday,2024,December,Q4,536,,1500.0,,0,1,1050,0,1305,19267,€28.710,35647,1010,1012,,0.7,0.66,9.0,31973.0,24.5,23490.0,58177.0,35647.0,17286.0,7759.0,10610.0,,,unknown,7.073333333333333,1,1,4,0,7759.0,17286.0,1010
intern,Regulier,Confirmed,12/20/2024 12:00am,Friday,2024,December,Q4,620,,1500.0,,0,1,1500,0,1305,19267,€28.710,35647,1506,1500,,1.0,1.03,7.0,31973.0,24.5,23490.0,58177.0,35647.0,35046.0,43089.0,17675.0,,,unknown,11.783333333333333,1,0,4,0,43089.0,35046.0,1506
intern,Regulier,Confirmed,12/27/2024 12:00am,Friday,2024,December,Q4,613,,1500.0,,0,1,900,0,870,16918,€19.140,19692,615,564,,0.6,0.38,7.0,21315.0,24.5,15660.0,38785.0,19692.0,10749.0,8504.0,13700.0,,,unknown,9.133333333333333,1,0,4,0,8504.0,10749.0,615
intern,Regulier,Confirmed,12/29/2024 12:00am,Sunday,2024,December,Q4,611,,1500.0,,0,1,900,0,1530,20482,€33.660,43900,511,438,,0.6,0.21,7.0,37485.0,24.5,27540.0,68207.0,43900.0,3376.0,-9669.0,10210.0,,,unknown,6.806666666666667,1,0,4,0,-9669.0,3376.0,511
intern,Regulier,Confirmed,1/1/2025 12:00am,Wednesday,2025,January,Q1,608,progressieve techno,2000.0,2000.0,0,4,2000,2000,1900,22480,€20.106,22819,1950,1933,,1.0,1.01,20.0,47500.0,25.0,34200.0,85652.0,38444.0,60219.0,14528.0,20598.0,19978.0,,techno,10.299,0,0,1,0,14528.0,60219.0,1950
intern,Regulier,Confirmed,1/5/2025 12:00am,Sunday,2025,January,Q1,604,progressieve techno,,,0,1,0,0,320,12661,€2.200,-23951,147,116,,,0.29,-1461.0,8000.0,25.0,1469.0,10134.0,-8326.0,2880.0,2826.0,800.0,5000.0,,techno,0.5333333333333333,1,0,1,0,2826.0,2880.0,147
intern,Regulier,Confirmed,1/11/2025 12:00am,Saturday,2025,January,Q1,598,progressieve techno,500.0,500.0,0,1,450,450,320,14332,€2.200,-20051,205,214,,0.9,0.47,7.0,8000.0,25.0,7040.0,15706.0,-4426.0,2892.0,-621.0,2950.0,5000.0,,techno,5.9,1,1,1,0,-621.0,2892.0,205
intern,Regulier,Confirmed,1/24/2025 12:00am,Friday,2025,January,Q1,585,left field house & techno,1450.0,1450.0,0,2,1160,1160,1378,19659,€13.194,7370,1315,1366,,0.8,0.9,7.0,34438.0,25.0,24795.0,62098.0,22995.0,28826.0,24900.0,13950.0,16000.0,,techno,9.620689655172415,1,0,1,0,24900.0,28826.0,1315
intern,Regulier,Confirmed,1/31/2025 12:00am,Friday,2025,January,Q1,578,Bounce / trance,1500.0,1450.0,0,3,1200,1160,1015,17701,€9.037,-2107,999,995,,0.8,0.66,7.0,25375.0,25.0,18270.0,45756.0,13518.0,20430.0,20458.0,15000.0,12000.0,,commercial,10.344827586206897,1,0,1,0,20458.0,20430.0,999
intern,Regulier,Confirmed,2/14/2025 12:00am,Friday,2025,February,Q1,564,commerciele old school techno,1500.0,1450.0,0,2,1200,1160,1200,18700,€9.605,-706,1126,1195,,0.8,0.78,7.0,30000.0,25.0,21600.0,54096.0,17151.0,25314.0,19137.0,13600.0,15245.0,,techno,9.379310344827585,1,0,1,0,19137.0,25314.0,1126
intern,Regulier,Confirmed,2/15/2025 12:00am,Saturday,2025,February,Q1,563,Bounce / trance,1900.0,1700.0,0,3,1900,1700,1750,21670,€6.425,2988,1816,1700,,1.0,0.97,7.0,43750.0,25.0,31500.0,78890.0,20845.0,50688.0,34666.0,13265.0,32000.0,,commercial,7.802941176470588,1,1,1,0,34666.0,50688.0,1816
intern,Regulier,Confirmed,2/21/2025 12:00am,Friday,2025,February,Q1,557,commerciele new school techno,1450.0,1450.0,0,1,1233,1233,1138,18363,€5.719,-5860,1285,1292,,0.85,0.67,9.0,28438.0,25.0,20475.0,51279.0,11997.0,28053.0,19894.0,15000.0,18075.0,,techno,10.344827586206897,1,0,1,0,19894.0,28053.0,1285
