id,artist,date,title,link,venue,city,lineup,lineup_count
2449187_kolsch,Kolsch,2026-06-05,KÖLSCH · La Forêt · ZAT,https://ra.co/events/2449187,Audio Club,Geneva,Kolsch;La Forêt,2
2326467_superflu,Super Flu,2026-06-05,Chocolate Festival,https://ra.co/events/2326467,Pyramides De Vidy,Lausanne,ANNA;Chambord;Fejká;Hidden Empire;Jonas Saalbach;Kaufmann;Pan-Pot;Super Flu;ACID FLORA;Buds Buzzy;Calicá;KAEL (1);Luca Mascolo;Lauhaus;Masaya;Nicolas Duvoisin;*Tia*;VALKOO,18
2403915_jorisvoorn,Joris Voorn,2026-06-05,Gravity Fantasyland EXP 2026,https://ra.co/events/2403915,"TBA - Hotel Dar Ismail, Tabarka, Tunisia",All,Satori;Joris Voorn;Fahlberg;Layla Benitez;Sorä;HearThug;Ali Dey Daly;Noy Ära,8
2380535_jorisvoorn,Joris Voorn,2026-06-05,WAKE UP! NATURE FESTIVAL,https://ra.co/events/2380535,Cidade da Cultura - Santiago de Compostela,North,Adiel;AEREA;Alarico;Andres Campo;ANNĒ;Ben Klock;Ben Sims;BIIA;BIXBITA;Blasha & Allatt;Cristian Varela;DAX J;Fatima Hajji;future.666;Joris Voorn;Karras Martínez;Laia;Shadow Hrym (ES);Lee Ann Roberts;Luxi Villar;MARRØN;Muiños;Pastis & Buenri;Pawlowski;PRADA2000;The Lady Machine;Vendex,27
2438116_erika-sf,erika (SF),2026-06-05,program audio x QUEEN OUT x Public Works: Archangel [NYC],https://ra.co/events/2438116,Public Works,San Francisco/Oakland,ARCHANGEL (US);erika (SF);moth (US);Discnogirl;DJ CARO;AGROPOL,6
2458981_beltran,Beltran,2026-06-05,Só Track Boa Festival 2026 :: São Paulo,https://ra.co/events/2458981,Autódromo de Interlagos,Sao Paulo,Above & Beyond;Artbat;Bedouin;Boris Brejcha;Analu;Eli Brown;ILLUSIONIZE;Fancy Inc;Kobosil;Malu;Bauhouse;Maz (BR);Pricila Diaz;Gartzzea;Sammy Virji;The Martinez Brothers;Tripolism;Vintage Culture;Max Styler;Viot;Adam Sellouk;Ashibah;Beltran;Ben Sterling;Colyn;Curol;Camila Jun;Damian Lazarus;Dixon;Kevin de Vries;Mochakk,31
2351025_ninajirachi,Ninajirachi,2026-06-05,We Love Green 2026,https://ra.co/events/2351025,Bois de Vincennes,Paris,Little Simz;Dijon;Sebastien Tellier;¥ØU$UK€ ¥UK1MAT$U;DJ Gigola;Sudan Archives;Tatyana Jane;Oklou;KI/KI;Overmono;DJ Heartstring;LB aka LABAT;TOCCORORO;The xx;Charlotte de Witte;Dom Dolla;KETTAMA;Bambounou;HAAi;Ninajirachi,20
2455559_ninajirachi,Ninajirachi,2026-06-05,Primavera Bits: berlioz · david bay / Ninajirachi · Effie + EUROHEAD Live,https://ra.co/events/2455559,Nitsa Club,Barcelona,berlioz;david bay;Breixo Martinez;Ninajirachi;EUROHEAD;JUMER,6
2351025_oklou,Oklou,2026-06-05,We Love Green 2026,https://ra.co/events/2351025,Bois de Vincennes,Paris,Little Simz;Dijon;Sebastien Tellier;¥ØU$UK€ ¥UK1MAT$U;DJ Gigola;Sudan Archives;Tatyana Jane;Oklou;KI/KI;Overmono;DJ Heartstring;LB aka LABAT;TOCCORORO;The xx;Charlotte de Witte;Dom Dolla;KETTAMA;Bambounou;HAAi;Ninajirachi,20
2351025_dijon,Dijon,2026-06-05,We Love Green 2026,https://ra.co/events/2351025,Bois de Vincennes,Paris,Little Simz;Dijon;Sebastien Tellier;¥ØU$UK€ ¥UK1MAT$U;DJ Gigola;Sudan Archives;Tatyana Jane;Oklou;KI/KI;Overmono;DJ Heartstring;LB aka LABAT;TOCCORORO;The xx;Charlotte de Witte;Dom Dolla;KETTAMA;Bambounou;HAAi;Ninajirachi,20
2450045_oguz,OGUZ,2026-06-05,"OGUZ with Ashura, ANN-LUX",https://ra.co/events/2450045,Lehmann Club,Stuttgart,OGUZ;ANN-LUX,2
2455250_eve-1,EVE (1),2026-06-05,LOST CAUSE x fawn,https://ra.co/events/2455250,Studio Freedom,Tokyo,EVE (1);PARSA (2);NIVIL,3
2448187_barker,Barker,2026-06-05,Kaiku presents: Barker – LIVE (UK),https://ra.co/events/2448187,Kaiku,Helsinki,Barker;Joni DJ;Denzel;una (1);Carlina Carpelan,5
2432527_x3butterfly,x3butterfly,2026-06-05,Residency Night: x3butterfly invites Jeremy Sylvester & The Carry Nation,https://ra.co/events/2432527,Nowadays,New York City,x3butterfly;Jeremy Sylvester;The Carry Nation,3
2413898_1morning,1morning,2026-06-05,Function / 1morning / Marteka Fair / Analog Soul / Michael Cignarale / J. Aria,https://ra.co/events/2413898,BASEMENT,New York City,Function;1morning;Marteka Fair;Analog Soul;Michael Cignarale;J. Aria,6
2460312_spray,Spray,2026-06-05,Asé vol.2,https://ra.co/events/2460312,J.J. Mahoney's Bar,Seoul,Spray;SKiiDA,2
